,latitude,longitude,free_bikes
0,23.249586,77.395599,2
1,23.222624,77.424051,5
2,23.192864,77.450197,4
3,23.203445,77.446469,6
4,23.200714,77.447472,3
5,23.187359,77.452427,2
6,23.182398,77.455573,6
7,23.229068,77.442164,5
8,23.22874,77.428269,4
9,23.225072,77.42874,5
10,23.22866,77.415382,6
11,23.231905,77.411919,5
12,23.23295,77.401322,4
13,23.237019,77.40025,3
14,23.243884,77.397579,4
15,23.244284,77.387085,7
16,23.242482,77.381173,4
17,23.214601,77.435593,4
18,23.226349,77.392242,2
19,23.237441,77.421214,2
20,23.226139,77.386867,3
21,23.216699,77.376212,4
22,23.219139,77.413739,0
23,23.202557,77.425174,4
24,23.217803,77.419776,3
25,23.215321,77.426918,4
26,23.217316,77.430646,4
27,23.236955,77.433214,6
28,23.233658,77.434393,3
29,23.220998,77.403485,4
30,23.216004,77.395599,4
31,23.232933,77.430657,4
32,23.259188,77.382371,4
33,23.178502,77.45811,6
34,23.183357,77.454548,2
35,23.231783,77.457842,4
36,23.210056,77.431175,4
37,23.212206,77.437242,3
38,23.164564,77.467552,6
39,23.171014,77.462352,4
40,23.217862,77.369535,3
41,23.243731,77.410401,3
42,23.279566,77.392904,2
43,23.272229,77.341134,2
44,23.257121,77.391814,3
45,23.206999,77.434549,3
46,23.218677,77.456526,4
47,23.217937,77.450672,2
48,23.210729,77.452595,2
49,23.219664,77.436446,3
50,23.286264,77.354467,4
51,23.171723,77.462311,4
52,23.188617,77.433802,4
53,23.195847,77.417121,4
54,23.189887,77.464709,5
55,23.195226,77.464257,4
56,23.211058,77.454529,5
57,23.217155,77.463034,5
58,23.21643,77.452377,4
59,23.188235,77.436275,4
60,23.250998,77.464923,4
61,23.252854,77.463565,3
62,23.251645,77.456501,3
63,23.230224,77.485648,5
64,23.233822,77.399169,2
65,23.25004,77.467072,4
66,23.189384,77.429729,3
67,23.167347,77.438082,4
68,23.284232,77.381079,2
69,23.208478,77.427518,5
70,23.239786,77.435942,4
71,23.225875,77.422594,4
72,23.24165,77.374374,5
73,23.25491,77.397813,3
74,23.272521,77.369707,3
75,23.200578,77.434629,5
76,23.18573,77.453916,3
77,23.210242,77.456433,4
78,23.205616,77.460985,4
79,23.23384,77.409226,4
80,23.256664,77.396821,1
81,23.242515,77.387827,2
82,23.233056,77.432546,6
83,23.211206,77.441297,4
84,23.267245,77.466847,0
85,23.298321,77.265836,3
86,23.295442,77.268064,2
87,23.280355,77.277276,0
88,23.292328,77.270887,0
89,23.275569,77.454902,4
90,23.274436,77.460493,3
91,23.268475,77.457554,4
92,23.227344,77.401239,2
93,23.240382,77.376334,1
94,23.232322,77.379065,2
95,23.233004,77.381998,2
